情境,歸戶,軌別,梯次,應走,實走鏈,歸因
0m,G001,建地軌,0,級0 集中合併/級0′弱弱聯合,F.2跨併級1 628-34(3)→628-34(1)；F.3併入 628-3(1)→628-34(2)；F.3併入 628-34(4)→628-34(1),✅
0m,G002,建地軌,1,級0 逐宗個別,F.3併入 628-39(2)→628-39(1),✅
0m,G003,公設軌,—,公設軌·達標門檻＝區標準 114.07(手冊(三))；½線測試延至 F.4 以 ,F.3轉7-4；E1 7-4 配地 R5 G=1125.39,✅
0m,G004,建地軌,2,級1-4 增配(雙出口),F.3併入 628-52(2)→628-52(1)；E2 7-5批次 R4 G=134.09,✅
0m,G005,建地軌,1,級0 逐宗個別,F.3併入 628-18(3)→628-18(2),✅
0m,G006,建地軌,0,級0 集中合併/級0′弱弱聯合,F.0級0'→達標·留置原位；E0級1殘餘併入 628-49(1)→628-48(1),✅
0m,G007,建地軌,0,級0 集中合併/級0′弱弱聯合,F.0全達標·無須併；F.0級0→達標·留置原位；F.3併入 628-20(3)→628-20(1)；F.3併入 628-30(4)·半R→628-30(3)；F.3併入 628-30(4)·半L→628-20(2)；F.3併入 628-45(3)→628-45(2)；F.3併入 628-45(4)→628-45(2)；F.3併入 628-45(5)·半L→628-20(2)；F.3併入 628-45(5)·半R→628-45(2)；E0級1殘餘併入 628-30(2)→628-45(2),✅
0m,G008,建地軌,1,級0 逐宗個別,F.3併入 628-4(2)→628-4(1),✅
0m,G009,建地軌,0,級0 集中合併/級0′弱弱聯合,F.0全達標·無須併；F.0級0'→轉F.2(同歸戶R4有達標宗·級1相鄰街廓)；F.2跨併級1 628(4)→628(1)；F.2跨併級1 628(3)→628(1)；F.2跨併級1 628-1(2)→628(1)；F.3併入 628(6)·半L→628(1)；F.3併入 628(6)·半R→628(5)；F.3併入 628-1(3)→628-1(1),✅
0m,G010,建地軌,0,級0 集中合併/級0′弱弱聯合,F.0級0→達標·留置原位；F.3併入 628-40(2)→628-40(1)；F.3併入 628-43(2)→628-40(1)；F.3併入 628-44(1)→628-40(1),✅
0m,G011,建地軌,2,級1-4 增配(雙出口),F.3併入 628-42(3)→628-42(2)；F.3併入 628-42(4)→628-42(2)；E0級1殘餘併入 628-42(1)→628-42(2),✅
0m,G012,公設軌,—,公設軌·達標門檻＝區標準 114.07(手冊(三))；½線測試延至 F.4 以 ,F.3轉7-4；E1 7-4 配地 R1 G=143.20,✅
0m,G013,公設軌,—,公設軌·達標門檻＝區標準 114.07(手冊(三))；½線測試延至 F.4 以 ,F.3轉7-4；E1 ½測試<½→現金補償 2594110 元,✅
0m,G014,建地軌,0,級0 集中合併/級0′弱弱聯合,F.0級0'→轉F.4(逃生門·2×G≥MinA_區·7-5≥½增配)；E2 7-5批次 R4 G=124.28,✅
0m,G015,公設軌,—,公設軌·達標門檻＝區標準 114.07(手冊(三))；½線測試延至 F.4 以 ,F.3轉7-4；E1 無塊可規配 → E2 第2梯類增配佇列；E2 7-5批次 R1 G=117.18 增配2.45,✅
0m,G016,公設軌,—,公設軌·達標門檻＝區標準 114.07(手冊(三))；½線測試延至 F.4 以 ,F.3轉7-4；E1 7-4 配地 R2 G=602.44；E1 7-4 配地 R5 G=413.95；E1 7-4 配地 R6 G=200.23,✅
0m,G017,建地軌,0,級0 集中合併/級0′弱弱聯合,F.0全達標·無須併；F.0級0→達標·留置原位；F.3併入 628-22(3)→628-22(2)；F.3併入 628-23(3)→628-23(2),✅
0m,G018,建地軌,0,級0 集中合併/級0′弱弱聯合,E2 7-5批次 R1 G=138.46,✅
0m,G019,建地軌,1,級0 逐宗個別,F.3併入 628-37(2)→628-37(1),✅
0m,G020,建地軌,0,級0 集中合併/級0′弱弱聯合,E2 7-5批次 R1 G=138.46,✅
0m,G021,建地軌,0,級0 集中合併/級0′弱弱聯合,F.2跨併級1 628-35(1)→628-35(2)；F.3併入 628-35(3)→628-35(2),✅
0m,G022,建地軌,1,級0 逐宗個別,F.3併入 628-7(3)→628-7(1)；F.3併入 628-7(4)→628-7(1),✅
0m,G023,建地軌,1,級0 逐宗個別,F.3併入 628-41(2)→628-41(1)；F.3併入 628-41(3)→628-41(1),✅
0m,G024,公設軌,—,公設軌·達標門檻＝區標準 114.07(手冊(三))；½線測試延至 F.4 以 ,F.3轉7-4；E1 ½測試<½→現金補償 887762 元,✅
0m,G025,建地軌,3,現金補償(兩式),F.0梯3釋池補償(§53兩式已列清單)；F.3轉7-4；E1 7-4 配地 R2 G=290.35；E1 7-4 配地 R3 G=392.96,✅
0m,G026,建地軌,0,級0 集中合併/級0′弱弱聯合,F.2跨併級1 628-32(1)→628-32(3)；F.3併入 628-32(4)·半L→628-32(3)；F.3併入 628-32(4)·半R→628-32(3)；F.3併入 628-32(5)→628-32(2),✅
0m,G027,建地軌,0,級0 集中合併/級0′弱弱聯合,F.2跨併級1 628-31(1)→628-31(3)；F.3併入 628-31(4)·半L→628-31(3)；F.3併入 628-31(4)·半R→628-31(3)；F.3併入 628-31(5)→628-31(2),✅
0m,G028,公設軌,—,公設軌·達標門檻＝區標準 114.07(手冊(三))；½線測試延至 F.4 以 ,F.3轉7-4；E1 ½測試<½→現金補償 3747048 元,✅
0m,G029,建地軌,1,級0 逐宗個別,F.3併入 628-36(2)→628-36(1),✅
0m,G030,建地軌,3,現金補償(兩式),F.0梯3釋池補償(§53兩式已列清單),✅
0m,G031,公設軌,—,公設軌·達標門檻＝區標準 114.07(手冊(三))；½線測試延至 F.4 以 ,F.3轉7-4；E1 無塊可規配 → E2 第2梯類增配佇列；E2 7-5批次 R1 G=117.15 增配0.17,✅
0m,G032,建地軌,2,級1-4 增配(雙出口),F.3併入 628-38(2)→628-38(1)；F.3併入 628-38(3)→628-38(1)；F.3併入 628-38(4)→628-38(1),✅
0m,G033,建地軌,2,級1-4 增配(雙出口),F.3併入 628-46(2)→628-46(1)；E2 7-5批次 R4 G=134.09,✅
